Timestamp: 12 Mar 2021 , 12:33:21 AM  Avg. characters per second: 125.01  Time Taken: 6.09 s  characters: 761  line: 186
Timestamp: 12 Mar 2021 , 12:33:31 AM  Avg. characters per second: 98.01  Time Taken: 10.48 s  characters: 1027  line: 187
Timestamp: 12 Mar 2021 , 12:33:39 AM  Avg. characters per second: 91.03  Time Taken: 8.16 s  characters: 743  line: 188
Timestamp: 12 Mar 2021 , 12:33:47 AM  Avg. characters per second: 95.38  Time Taken: 7.56 s  characters: 721  line: 189
Timestamp: 12 Mar 2021 , 12:33:52 AM  Avg. characters per second: 151.27  Time Taken: 5.26 s  characters: 796  line: 190
Timestamp: 12 Mar 2021 , 12:33:58 AM  Avg. characters per second: 106.86  Time Taken: 5.41 s  characters: 578  line: 191
Timestamp: 12 Mar 2021 , 12:34:03 AM  Avg. characters per second: 113.32  Time Taken: 5.12 s  characters: 580  line: 192
Timestamp: 12 Mar 2021 , 12:34:16 AM  Avg. characters per second: 88.12  Time Taken: 13.73 s  characters: 1210  line: 193
Timestamp: 12 Mar 2021 , 12:34:24 AM  Avg. characters per second: 119.19  Time Taken: 7.56 s  characters: 901  line: 194
Timestamp: 12 Mar 2021 , 12:34:30 AM  Avg. characters per second: 104.09  Time Taken: 5.90 s  characters: 614  line: 195
Timestamp: 12 Mar 2021 , 12:34:35 AM  Avg. characters per second: 178.93  Time Taken: 4.66 s  characters: 833  line: 196
Timestamp: 12 Mar 2021 , 12:34:39 AM  Avg. characters per second: 183.31  Time Taken: 4.82 s  characters: 884  line: 197
Timestamp: 12 Mar 2021 , 12:34:45 AM  Avg. characters per second: 133.99  Time Taken: 5.13 s  characters: 687  line: 198
Timestamp: 12 Mar 2021 , 12:34:50 AM  Avg. characters per second: 167.11  Time Taken: 5.20 s  characters: 869  line: 199
Timestamp: 12 Mar 2021 , 12:34:55 AM  Avg. characters per second: 110.10  Time Taken: 5.70 s  characters: 628  line: 200
Timestamp: 12 Mar 2021 , 12:35:00 AM  Avg. characters per second: 186.33  Time Taken: 4.28 s  characters: 798  line: 201
Timestamp: 12 Mar 2021 , 12:35:16 AM  Avg. characters per second: 42.44  Time Taken: 15.81 s  characters: 671  line: 202
Timestamp: 12 Mar 2021 , 12:35:27 AM  Avg. characters per second: 96.21  Time Taken: 11.93 s  characters: 1148  line: 203
Timestamp: 12 Mar 2021 , 12:35:32 AM  Avg. characters per second: 130.14  Time Taken: 4.33 s  characters: 564  line: 204
Timestamp: 12 Mar 2021 , 12:35:37 AM  Avg. characters per second: 172.62  Time Taken: 4.98 s  characters: 859  line: 205
Timestamp: 12 Mar 2021 , 12:35:46 AM  Avg. characters per second: 84.85  Time Taken: 9.25 s  characters: 785  line: 206
Timestamp: 12 Mar 2021 , 12:35:53 AM  Avg. characters per second: 107.56  Time Taken: 6.68 s  characters: 719  line: 207
Timestamp: 12 Mar 2021 , 12:36:05 AM  Avg. characters per second: 129.15  Time Taken: 12.51 s  characters: 1615  line: 208
Timestamp: 12 Mar 2021 , 12:36:09 AM  Avg. characters per second: 132.62  Time Taken: 3.98 s  characters: 528  line: 209
Timestamp: 12 Mar 2021 , 12:36:13 AM  Avg. characters per second: 166.64  Time Taken: 4.15 s  characters: 691  line: 210
